planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total,gender,year
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
River Valley,190,230,240,180,190,220,250,380,500,450,350,310,260,230,120,80,50,50,4260,Male,2015
River Valley,230,300,280,230,280,290,390,490,550,420,330,310,250,240,140,100,50,80,4930,Female,2015
River Valley,420,520,520,410,470,500,640,870,1050,870,670,620,500,470,260,180,100,130,9190,Total,2015
Rochor,550,570,580,610,690,890,1050,1270,1260,1060,1110,1130,1050,900,620,510,340,400,14590,Total,2015
Rochor,270,280,270,320,310,450,520,660,680,560,630,610,510,420,300,230,180,240,7410,Male,2015
Rochor,280,290,310,290,390,440,530,620,580,500,480,520,550,490,320,280,170,160,7180,Female,2015
Singapore River,120,90,70,50,50,60,170,180,210,120,80,70,50,40,20,20,10,10,1410,Female,2015
Singapore River,200,170,120,90,80,90,280,360,410,270,190,140,100,90,50,40,10,30,2720,Total,2015
Singapore River,80,80,50,40,40,30,110,180,200,140,110,70,50,50,30,20,10,20,1310,Male,2015
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2015
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Ang Mo Kio,5280,6100,7030,7600,8680,10320,10490,10420,11350,12410,11860,12780,12730,11960,9930,5770,4150,3410,162280,Total,2020
Ang Mo Kio,2710,3020,3590,3870,4410,5100,5030,4890,5270,5910,5720,6330,6090,5480,4570,2570,1800,1210,77570,Male,2020
Ang Mo Kio,2570,3080,3440,3730,4280,5220,5460,5530,6070,6500,6140,6450,6650,6480,5350,3200,2350,2190,84700,Female,2020
Bedok,4980,5810,6470,7160,8310,9460,9020,8180,9000,10220,9800,10760,10670,9140,7300,3660,2440,1830,134210,Male,2020
Bedok,4810,5680,6340,6920,7730,9410,9340,9550,10510,10870,10250,11180,11190,9890,7930,4370,3360,3450,142790,Female,2020
Bedok,9790,11490,12810,14080,16050,18870,18360,17730,19500,21090,20050,21950,21860,19030,15230,8020,5810,5280,276990,Total,2020
Bishan,2790,3720,4300,4630,5240,6930,5730,5090,5750,6720,6290,6960,7130,5850,4390,2430,1760,1610,87320,Total,2020
Bishan,1470,2030,2260,2430,2740,3580,2810,2290,2670,3160,2980,3170,3450,2830,2050,1080,750,520,42260,Male,2020
Bishan,1320,1700,2040,2200,2510,3340,2920,2800,3090,3560,3320,3790,3680,3020,2340,1350,1020,1090,45060,Female,2020
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Total,2020
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Bukit Batok,4030,3480,3870,4350,4920,5960,6750,5190,5060,5620,5870,6230,5820,4690,2870,1340,860,600,77480,Male,2020
Bukit Batok,7920,6820,7690,8570,9800,12480,13630,10980,10660,11680,11900,12500,11750,9330,5800,2880,1940,1720,158030,Total,2020
Bukit Batok,3890,3340,3820,4220,4890,6530,6870,5790,5600,6060,6030,6270,5930,4640,2930,1550,1090,1120,80550,Female,2020
Bukit Merah,5970,6470,6670,6130,6640,8890,10540,10650,11750,11830,10630,10670,11110,10220,9130,5620,4410,3930,151250,Total,2020
Bukit Merah,2920,3180,3300,2980,3360,4590,5590,5590,6180,6040,5250,5210,5490,5430,5080,3220,2580,2560,78520,Female,2020
Bukit Merah,3050,3300,3370,3150,3280,4300,4950,5060,5570,5790,5380,5470,5620,4800,4060,2400,1820,1370,72730,Male,2020
Choa Chu Kang,8990,9280,10210,12090,15450,16610,14430,13200,12640,14130,16080,16140,12760,8590,5380,2680,1840,1580,192070,Total,2020
Choa Chu Kang,4590,4740,5290,6110,8010,8390,7210,6290,6050,6660,7770,8290,6710,4470,2640,1200,780,500,95690,Male,2020
Choa Chu Kang,4400,4540,4920,5980,7440,8220,7230,6910,6590,7470,8310,7850,6050,4120,2740,1480,1070,1070,96380,Female,2020
Bukit Panjang,3190,3660,3650,4160,4700,5350,5010,4930,4480,5020,4930,5470,5290,3720,2370,1100,700,450,68150,Male,2020
Bukit Panjang,3060,3440,3660,3990,4590,5180,5440,5170,4880,5470,5180,5780,4990,3650,2420,1310,980,940,70120,Female,2020
